Time;Open;High;Low;Close;Volumn;MA5;MA10;MA20;MA50;MA8;MA13;MA21;MO5;MO8;MO10;MO12;MO13;MO21;RSI5;RSI8;RSI9;RSI10;RSI12;RSI13;RSI14;RSI21;RSI25,
1971.02.26;0.5379;0.5379;0.5379;0.5379;1;0;0;0;0;0;0;0;99.8886;99.8886;99.9071;99.8886;99.9071;99.833;27.3867;35.3826;37.2487;38.9296;41.8471;43.159;44.3936;50.9431;53.1683,
1971.03.01;0.5383;0.5383;0.5383;0.5383;1;0;0;0;0;0;0;0;99.9072;99.9257;100.037;99.9443;99.9629;99.9443;44.8632;46.454;47.1061;47.7954;49.1896;49.8968;50.6058;54.857;56.4049,
1971.03.02;0.5386;0.5386;0.5386;0.5386;1;0;0;0;0;0;0;0;99.9814;100.037;100.019;100.037;100;99.9814;55.0137;53.3108;53.2963;53.4295;53.9471;54.2984;54.6939;57.5257;58.6381,
1971.03.03;0.539;0.539;0.539;0.539;1;0;0;0;0;0;0;0;100.019;100.093;100.056;100.167;100.111;100.056;65.576;60.9338;60.2707;59.849;59.4674;59.4447;59.5062;60.7722;61.3854,
1971.03.04;0.5382;0.5382;0.5382;0.5382;1;0;0;0;0;0;0;0;99.9443;99.8886;99.9629;99.9443;100.019;99.9257;41.3215;44.3739;45.1129;45.8149;47.1391;47.7859;48.4272;52.3666;53.9235,
1971.03.05;0.5386;0.5386;0.5386;0.5386;1;0;0;0;0;0;0;0;100.13;99.9814;100.019;99.9814;100.019;100;52.3391;51.8512;51.9153;52.0601;52.5093;52.8002;53.1264;55.5913;56.667,
1971.03.08;0.5385;0.5385;0.5385;0.5385;1;0;0;0;0;0;0;0;100.037;99.9258;99.9443;100.019;99.9629;99.9814;49.4383;49.9335;50.1666;50.4451;51.0937;51.4617;51.8543;54.6207;55.8018,
1971.03.09;0.5388;0.5388;0.5388;0.5388;1;0;0;0;0;0;0;0;100.037;100.056;100.019;100.056;100.074;99.9814;58.1387;55.5678;55.2533;55.0893;55.0589;55.1563;55.3113;56.9865;57.8147,
1971.03.10;0.5385;0.5385;0.5385;0.5385;1;0;0;0;0;0;0;0;99.9072;100.112;99.9258;99.9443;100;100.019;47.8471;49.2354;49.562;49.8938;50.5847;50.9546;51.3413;54.0289;55.1962,
1971.03.11;0.5384;0.5384;0.5384;0.5384;1;0;0;0;0;0;0;0;100.037;100.019;99.9814;99.9443;99.9258;99.9814;44.5604;47.1869;47.7187;48.2098;49.1329;49.5904;50.0516;53.065;54.3416,
1971.03.12;0.5385;0.5385;0.5385;0.5385;1;0;0;0;0;0;0;0;99.9814;99.9814;100.112;99.9258;99.9629;99.9814;48.9443;49.5842;49.8183;50.0818;50.6772;51.0113;51.3672;53.9281;55.0663,
1971.03.15;0.5384;0.5384;0.5384;0.5384;1;0;0;0;0;0;0;0;99.9814;99.8887;100.019;99.9814;99.9072;100;44.5416;47.1388;47.6649;48.1481;49.0526;49.4998;49.9504;52.9066;54.1707,
1971.03.16;0.5384;0.5384;0.5384;0.5384;1;0;0;0;0;0;0;0;99.9258;100.037;99.9629;100.093;99.9814;100.056;44.5416;47.1388;47.6649;48.1481;49.0526;49.4998;49.9504;52.9066;54.1707,
1971.03.17;0.5386;0.5386;0.5386;0.5386;1;0;0;0;0;0;0;0;100.019;100;99.9258;100.056;100.13;100.019;56.7103;53.1717;52.8264;52.6612;52.6645;52.7836;52.9599;54.7946;55.7331,
1971.03.18;0.5386;0.5386;0.5386;0.5386;1;0;0;0;0;0;0;0;100.037;100.019;100.074;100;100.056;99.9814;56.7103;53.1717;52.8264;52.6612;52.6645;52.7836;52.9599;54.7946;55.7331,
1971.03.19;0.5387;0.5387;0.5387;0.5387;1;0;0;0;0;0;0;0;100.037;99.9814;100.019;99.9443;100.019;100.056;63.0452;56.4198;55.5976;55.0749;54.5805;54.519;54.5449;55.7721;56.537,
